s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"GYPSUM-NET","GYPSUM-CONV","GYPSUM-RAD","GYPSUM-INC","GYPSUM-GAUGE","GYPSUM-RADIO","INERT-NET","INERT-CONV","INERT-RAD","INERT-INC","INERT-GAUGE","INERT-RADIO"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1873828E-001,-8.3747634E-011,-8.3747634E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1873828E-001,-4.6526453E-011,-4.6526453E-011
 1.0092076E+000, 5.0767440E-001,-7.8487146E-004, 5.0845927E-001, 1.4381614E+000, 1.0203509E+000, 1.0202080E+000, 9.5623100E-001, 1.5425656E-005, 9.5621556E-001, 1.4812155E+000, 1.0624771E+000, 1.0624617E+000
 2.0102333E+000, 4.0481529E+000,-2.6213285E-002, 4.0743661E+000, 8.6054821E+000, 8.2170429E+000, 8.2129564E+000, 7.0967040E+000, 1.5070414E-003, 7.0951972E+000, 8.3037977E+000, 7.8850594E+000, 7.8835521E+000
 3.0030892E+000, 4.4821777E+000,-6.2127866E-002, 4.5443053E+000, 9.5761118E+000, 9.2282009E+000, 9.2195015E+000, 8.4018593E+000, 4.6314420E-003, 8.3972282E+000, 9.7536230E+000, 9.3348846E+000, 9.3302536E+000
 4.0001668E+000, 4.7013860E+000,-9.0376094E-002, 4.7917619E+000, 1.0074399E+001, 9.7506752E+000, 9.7460365E+000, 9.2047577E+000, 1.3333983E-003, 9.2034245E+000, 1.0646099E+001, 1.0227361E+001, 1.0226027E+001
 5.0057947E+000, 5.0207977E+000,-1.2116940E-001, 5.1419673E+000, 1.0796561E+001, 1.0508057E+001, 1.0498992E+001, 8.9553127E+000, 1.4364617E-003, 8.9538765E+000, 1.0368927E+001, 9.9501886E+000, 9.9487514E+000
 6.0014893E+000, 4.7575374E+000,-1.4037795E-001, 4.8979149E+000, 1.0318416E+001, 1.0050034E+001, 1.0040055E+001, 1.0143250E+001, 4.1816793E-003, 1.0139069E+001, 1.1688552E+001, 1.1269814E+001, 1.1265632E+001
 7.0052704E+000, 4.5575452E+000,-8.8414446E-002, 4.6459594E+000, 9.8851480E+000, 9.6069231E+000, 9.5548239E+000, 1.0042882E+001, 5.9335208E-003, 1.0036949E+001, 1.1576838E+001, 1.1158099E+001, 1.1152165E+001
 8.0061416E+000, 6.6941457E+000,-1.4735703E-001, 6.8415027E+000, 1.4291352E+001, 1.4070721E+001, 1.4019971E+001, 9.7241001E+000, 3.9083231E-003, 9.7201920E+000, 1.1222860E+001, 1.0804122E+001, 1.0800214E+001
