s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2742404E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2742404E-003, 4.8410025E-004
 1.1180340E-001, 7.2025871E+000,-2.4482422E+000,-5.3525945E+000, 1.1658921E-005, 6.5175958E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2586770E-002,-5.9172026E-001, 9.5634510E-004
 2.2360680E-001, 2.2444696E+001,-7.8165057E+000,-1.5218213E+001,-2.3037995E-002, 1.1342764E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3663625E-001,-6.0171800E-001, 1.4060127E-003
 3.3541021E-001, 4.1272061E+001,-1.4408601E+001,-2.5862221E+001,-1.8450800E-001, 2.6028818E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5860295E-001, 8.4275958E-001, 1.8244257E-003
 4.4721359E-001, 6.2473761E+001,-2.1525061E+001,-3.6688421E+001,-5.8346160E-001, 2.6337380E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9990326E+000, 3.7031546E+000, 2.2054880E-003
 5.5901700E-001, 5.2006875E+001,-1.8088596E+001,-2.9091190E+001,-1.2236100E+000, 3.7119384E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3615191E+000, 3.6405977E+000, 2.5458089E-003
 5.9880185E-001, 2.5146303E+001,-9.5997250E+000,-1.6717801E+001,-1.2095157E+000, 5.5541595E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4054959E+000,-2.3251973E+000, 2.4519680E-003
 6.4256519E-001, 6.1681239E+001,-2.1559852E+001,-3.7517289E+001,-7.9501833E-001, 7.5486967E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5589624E+000, 1.8845666E+000, 2.5897185E-003
 6.7909718E-001, 6.5097190E+001,-2.2945207E+001,-3.9090531E+001,-8.0921344E-001, 8.2536249E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2443269E+000, 2.3347743E+000, 2.6704879E-003
 7.1562922E-001, 6.9122500E+001,-2.4271273E+001,-4.2489226E+001,-7.6343261E-001, 9.0053504E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1782687E+000, 1.6886213E+000, 2.7671946E-003
 7.5216120E-001, 7.1017222E+001,-2.4361521E+001,-4.5487238E+001,-6.9564013E-001, 9.6556495E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5375236E-001, 5.6937957E-001, 2.8595085E-003
 7.8869325E-001, 7.3139164E+001,-2.5337687E+001,-4.7287267E+001,-6.1601934E-001, 1.0306148E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9831230E-002, 1.2519802E-003, 2.9474925E-003
 8.2522523E-001, 7.2886256E+001,-2.5300799E+001,-4.6031259E+001,-5.2093169E-001, 1.0979615E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1457570E-001, 1.1430623E+000, 3.0312257E-003
 8.6175728E-001, 7.3413192E+001,-2.5060687E+001,-4.6326636E+001,-4.5181564E-001, 1.1704853E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2151947E+000, 1.6911024E+000, 3.1108015E-003
 8.9323986E-001, 9.8836110E+001,-3.4300514E+001,-5.9306702E+001,-4.4510533E-001, 1.2092962E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0498306E+000, 4.9047182E+000, 3.1658464E-003
 9.2472243E-001, 1.3024370E+002,-4.5426885E+001,-7.6911385E+001,-5.4235810E-001, 1.2000616E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1856189E+000, 7.4830769E+000, 3.2286982E-003
 9.6696502E-001, 1.7148964E+002,-5.9174061E+001,-1.0145104E+002,-6.4773782E-001, 1.1075376E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4723098E+000, 1.0327557E+001, 3.2694691E-003
 1.0278518E+000, 1.7120730E+002,-5.9104731E+001,-1.0824740E+002,-7.2987978E-001, 1.0791782E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2707079E+000, 3.2332070E+000, 3.3610293E-003
 1.0961587E+000, 1.2545380E+002,-4.3170416E+001,-8.3403710E+001,-7.1723021E-001, 1.0866121E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3686509E+000,-1.7288991E+000, 3.4607077E-003
 1.1540674E+000, 9.8980463E+001,-3.3842187E+001,-6.5674254E+001,-7.4469299E-001, 9.4403883E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5069651E+000,-1.1862670E+000, 3.5506649E-003
 1.2119761E+000, 8.6135449E+001,-2.9483562E+001,-5.5551280E+001,-8.4663532E-001, 6.5680719E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6141451E-002, 3.1965189E-001, 3.6306593E-003
 1.2698847E+000, 9.3733571E+001,-3.2275737E+001,-5.8512277E+001,-1.0180832E+000, 2.6913016E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5873950E+000, 1.9543873E+000, 3.7032832E-003
 1.3321366E+000, 1.0949325E+002,-3.7741223E+001,-6.6796581E+001,-1.2362701E+000,-2.8234469E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4537626E+000, 3.6909394E+000, 3.7731603E-003
 1.3958361E+000, 1.3272108E+002,-4.5830411E+001,-8.1259341E+001,-1.4326510E+000,-7.8865207E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9221393E+000, 4.1198144E+000, 3.8376768E-003
 1.4520875E+000, 1.4053167E+002,-4.8475778E+001,-8.7848930E+001,-1.6876127E+000,-1.4051568E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3051690E+000, 2.3788351E+000, 3.8901053E-003
 1.5043381E+000, 1.3627297E+002,-4.6858245E+001,-8.5993369E+001,-1.9417018E+000,-1.9455512E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0756627E+000, 1.2850951E+000, 3.9337144E-003
 1.5639590E+000, 1.3702302E+002,-4.7231984E+001,-8.5249532E+001,-2.1657051E+000,-2.4076634E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4780511E+000, 2.1350311E+000, 3.9743654E-003
 1.6210949E+000, 1.4781984E+002,-5.0983688E+001,-9.0892960E+001,-2.3292955E+000,-2.6794874E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0235217E+000, 3.3459457E+000, 4.0135312E-003
 1.6851847E+000, 1.6434003E+002,-5.6673336E+001,-1.0145521E+002,-2.4444661E+000,-2.7731170E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9337895E+000, 3.4896998E+000, 4.0496803E-003
 1.7492746E+000, 2.0030433E+002,-6.9137544E+001,-1.2269425E+002,-2.4124330E+000,-2.6612221E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4135276E+000, 5.7939797E+000, 4.0844750E-003
 1.8127236E+000, 2.2700904E+002,-7.8284964E+001,-1.4105137E+002,-2.2785333E+000,-2.2395587E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0073420E+000, 5.1702151E+000, 4.1165479E-003
